sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
14,13390,LD2,1470,750,5.982632438971962,0.00032482750212616955
14,13391,LD2,1470,750,5.98263558980273,0.00036875750874051553
14,13392,LD2,1470,750,5.982506465620436,0.00028538693847598176
14,13393,LD2,1470,750,5.982642335341506,0.00043430608987420457
14,13394,LD2,1470,750,5.983050929183302,0.0005065346930620788
14,13395,LD2,1470,750,5.982548964999999,0.0003292246822133792
14,13398,LD2,1470,750,5.982472161573705,0.0002321215844306693
14,13399,LD2,1470,750,5.982425572674418,0.00017101124751039677
14,13400,LD2,1470,750,5.9824941643785845,0.00032928199232998067
14,13402,LD2,1470,750,5.982499825555554,0.00037507912886387774
14,13403,LD2,1470,750,5.982529296414634,0.0003067226478333107
14,13406,LD2,1470,750,5.982517197657046,0.00038828110410561294
14,13407,LD2,1470,750,5.982520240340314,0.0004059146678229738
8,13453,LD2,1470,750,5.982643545865835,0.00033965007109577
8,13454,LD2,1470,750,5.982752776576355,0.0004300340250788007
8,13455,LD2,1470,750,5.982699480129869,0.00039125375741277626
8,13468,LD2,0,750,5.982681796264151,0.0002952792093855648
